qid	type	label
Q131279045	loge	Lodge De Ster in 't Oosten
Q131349956	loge	
Q131438079	loge	
Q131612680	loge	
Q131625361	loge	Scottish Masonic Centre
Q131759456	loge	Lodge L'Amitié sans Fin
Q131763331	loge	Former Masonic Hall (Titirangi Lodge)
Q131857941	loge	
Q133864041	loge	Helensville Masonic Lodge
Q133898132	obédience	Grand Priory of the Netherlands
Q134027970	obédience	Grand Lodge of Albania
Q13405502	loge|obédience	Grand Orient de Luxembourg
Q134277950	loge	Zum stillen Tempel
Q134550636	loge	Lodge Salomo
Q134961630	loge	Matnat Jad
Q135502522	obédience	Grand Lodge of Peru
Q13554018	loge	
Q135658322	loge	
Q136236832	loge	Loge Saint-Jean de Jérusalem (Nancy)
Q136343359	loge	Ara Lodge
Q137163140	loge	
Q137362206	loge	Post Nubila Lux
Q13746906	loge	Lodge La Vertu
Q137712711	loge	
Q137714641	loge	Bethesda Lodge
Q137758728	loge	
Q137837283	loge	loge Roger-Leray
Q137837637	loge	Respectable Loge Jérôme Bonaparte à l'Orient de Rueil-Nanterre
Q137939428	loge	
Q138008610	loge	
Q138008611	loge	
Q138008612	loge	
Q138008613	loge	
Q138008614	loge	
Q138008616	loge	
Q138008618	loge	
Q138008619	loge	
Q138008621	loge	
Q138008622	loge	
Q138008625	loge	
Q138008627	loge	
Q138307388	loge	Loge Kosmopolis
Q138432707	obédience	
Q138601373	loge	Freemasonic association "Star on the Ribnitz Lagoon"
Q138601386	loge	Loge „Recht und Freiheit“ in Gotha
Q138602012	loge	Loge „Zur Bruderkette von Thüringen“ in Gotha
Q138714570	loge	
Q138800262	loge	Johannis-Loge Zum Füllhorn zu Lübeck
Q138840528	loge	loge Athanor
Q138920941	loge	
Q139558411	loge	
Q139798587	loge	La Loge de Juste
Q1472942	obédience	Grande Loge régulière du Portugal
Q1478100	loge	Reuchlin
Q1492464	loge	
Q14942093	loge	
Q14942116	loge	L'Union Royale
Q15269246	loge	Lodge Obreros de Hiram, no. 29
Q1542667	obédience	Grand Orient de France
Q1542968	obédience	Grande Loge nationale française
Q1543757	loge|obédience	Grande Loge unie d'Angleterre
Q1548315	obédience	Große National-Mutterloge „Zu den drei Weltkugeln“
Q1549438	obédience	Grand Lodge of Turkey
Q15855840	loge	Pour une vue noble
Q15875233	loge	
Q16069325	loge	Loge Sint Lodewijk
Q16237593	obédience	Grande loge d'Alabama
Q16237595	obédience	Grande Loge de Chypre
Q16237597	obédience	Grande Loge d'Indiana
Q16237599	obédience	Grande Loge du Missouri
Q16237601	obédience	Grande Loge de Terre-Neuve et Labrador
Q16237603	obédience	Grand Orient lusitanien
Q16238090	loge	New Welcome Lodge
Q16238198	obédience	Prince Hall National Grand Lodge
Q16350591	loge	
Q16351523	loge	
Q16351525	loge	
Q16351529	loge	
Q16351534	loge	
Q16351538	loge	
Q16351544	loge	
Q16351548	loge	
Q16351551	loge	Zum Nordstern lodge in Riga
Q16355774	loge	
Q16358498	loge	
Q16358502	loge	
Q16358504	loge	
Q16360603	loge	
Q16362486	loge	
Q16362489	loge	
Q1637868	obédience	Première Grande Loge d'Angleterre
Q16639831	obédience	Grand Directoire des Gaules
Q16639990	obédience	Grande Loge unie de France
Q1665103	obédience	Liberal Grand Lodge of Austria
Q16657638	loge	Loge Spartacus
Q16657641	loge	Loge Volney
Q1689090	loge	Ruprecht zu den fünf Rosen
Q1698895	loge	Johannis-Freimaurerloge Im Quadrat
Q17355439	loge	Loge La Parfaite Union
Q17492828	loge	
Q17521342	loge	Archimedes zu den 3 Reissbretern
Q17521888	loge	
Q17540286	loge	Ernst zum Compass
Q17743093	loge	St John's Church
Q17749350	loge	United Friends
Q18008318	loge	Boizenburg temple
Q18030055	loge	
Q18061577	loge	
Q1818244	obédience	Grande Loge Mixte des Pays-Bas
Q18286131	loge	Le Droit Humain – Fédération néerlandaise
Q18331924	obédience	Grande Loge du Congo
Q18332979	obédience	Grand Lodge of Finland
Q1835402	loge	Frédéric Royal
Q1867973	loge	
Q1867979	loge	
Q18888636	loge	
Q1891317	loge	Les Amis Philanthropes nº 3
Q19363327	obédience	Grand Orient de Roumanie
Q1936631	loge	Minerva zu den drei Palmen
Q19390077	loge	
Q19390079	loge	
Q19390080	loge	
Q19390081	loge	
Q19390083	loge	
Q19390084	loge	
Q19390085	loge	
Q19390102	loge	
Q19390103	loge	
Q19390105	loge	
Q19390106	loge	
Q19390107	loge	
Q19390110	loge	
Q19390111	loge	
Q19390112	loge	
Q19390114	loge	
Q19390115	loge	
Q19390120	loge	
Q19390121	loge	Lodge "Regulus", Olesun
Q19390122	loge	
Q19390123	loge	
Q19390124	loge	
Q19390127	loge	
Q19390128	loge	
Q19390129	loge	
Q19390130	loge	
Q19390131	loge	
Q19390133	loge	
Q19390134	loge	
Q19390135	loge	
Q19461505	loge	Eastern Star Lodge, No. 207, F. and A. M.
Q19709086	loge	Grande Loja Maçônica do Amazonas
Q1972213	loge	
Q1983867	loge|obédience	Ancient and Accepted Scottish Rite for the Kingdom of the Netherlands
Q19915255	loge	freemasonry in Belgium during French ruling
Q19937294	loge	
Q19937295	loge	Aux Trois Canons
Q19937578	obédience	Grand Lodge of Bolivia
Q19937586	loge	Grand Lodge of Puerto Rico
Q19962593	loge	Johannisloge Zur Eintracht
Q19974011	loge	
Q2001496	obédience	Ordre norvégien des francs-maçons
Q2021137	loge	
Q2042994	loge	
Q2049535	loge|obédience	Grande Loge d’Écosse
Q20564746	loge	
Q20667680	loge	Zum großen Licht im Norden
Q20669800	loge	Loge Alexandria-Washington n°22
Q20709915	obédience	Grand Lodge of Wisconsin
Q2081970	loge	
Q2084178	loge	
Q2100219	loge	
Q21004421	obédience	
Q21017096	obédience	Grand Lodge of Macedonia
Q2118625	obédience	Grande Loge féminine de Belgique
Q21282853	obédience	Grand Lodge of Turkey
Q2142137	loge	Le Droit Humain – Fédération luxembourgeoise
Q2193044	loge	
Q22086205	loge	La Fidélité
Q2221631	obédience	Grand Orient des Pays-Bas
Q2242614	obédience	
Q2248662	loge	
Q225503	obédience	Grand Orient de Pologne
Q2263862	loge	
Q227451	loge	Aux trois épées et Astrée au diamant vert
Q229563	loge	Zum Todtenkopf und Phoenix
Q229597	loge	
Q230281	loge	
Q230381	loge	À la vraie concorde
Q2319455	loge	
Q23368474	loge	
Q2355596	loge|obédience	Grande Loge d'Irlande
Q2360107	loge	Les Vrais Amis de l'Union et du Progrès Réunis
Q2365799	obédience	Grande Loge traditionnelle et symbolique Opéra
Q23785392	loge	Libanon zu den drei Cedern
Q23785393	loge	
Q2385972	loge	Le Droit Humain – Fédération belge
Q2391011	loge	
Q2398411	obédience	Grand Orient des États-Unis d'Amérique
Q2408568	obédience	Grande Loge mixte universelle
Q2411715	obédience	Grand Lodge of British Freemasons in Germany
Q24273542	loge	Hercynia zum flammenden Stern
Q2449095	loge	
Q2480906	obédience	Grand Orient de Belgique
Q2495542	obédience	
Q2503311	loge	
Q2511149	loge	
Q25378930	obédience	Souverain Collège du rite écossais pour la Belgique
Q2554832	loge	
Q2603342	obédience	Grande Loge de Belgique
Q2665331	loge	
Q2666396	loge	Loge L'Union Provinciale
Q26721363	loge|obédience	Grande Loge du Japon
Q2676101	loge	
Q2683798	loge	Ordre des maîtres maçons de la marque
Q2705082	loge	
Q2741067	loge	
Q2780200	obédience	
Q2801775	loge	Simon Stevin
Q28057761	loge	
Q28104589	obédience	Suprême Conseil mixte de France
Q28456657	obédience	Scottish Rite Supreme Council for the Northern Masonic Jurisdiction
Q28499147	obédience	Grand Orient de Suisse
Q28667774	loge	
Q2901304	loge	
Q2918845	loge	Altuna
Q2920894	loge	
Q29210142	loge	Groot-Nederland
Q3012601	loge	L'Obstinée
Q3019116	loge	Illuminés d'Avignon
Q30239159	obédience	
Q30241501	loge	
Q30264727	loge|obédience	Grand Lodge of Western Australia
Q3051103	obédience	Lithos - Confédération de loges
Q30587889	obédience	Grand Lodge of the Philippines
Q3086702	loge	Fraternité bugeysienne
Q30907258	loge	Obradoiro-Keltoy
Q3113684	obédience	Grand Orient
Q3113688	obédience	Grand Orient latino-américain
Q3113712	obédience	Grand Prieuré des Gaules
Q3114959	obédience	Grande Loge de l'Alliance maçonnique française
Q3114962	obédience	Grande Loge de Russie
Q3114963	obédience	Grande Loge féminine de Memphis-Misraïm
Q3114964	obédience	Grande Loge du Québec
Q3114965	obédience	Grande Loge de Pennsylvanie
Q3114968	obédience	Grande Loge provinciale des Pays-Bas autrichiens
Q3114970	loge|obédience	Grande Loge régulière de Belgique
Q3114971	obédience	Grande Loge nationale polonaise
Q3114972	obédience	Grande Loge mixte de France
Q3114973	obédience	Grande Loge symbolique écossaise
Q3114979	obédience	Grande Loge suisse Alpina
Q3230700	loge	Les Arts et l'Amitié
Q3257869	loge	Loge Alsace-Lorraine
Q3257873	loge	Loge Coustos-Villeroy
Q3257874	loge	Loge Constante Alona
Q3257878	loge	Loge de la Vraie Fraternité
Q3257879	loge	Loge d'Edimbourg n°1
Q3257880	loge	Loge des Cœurs Fidèles
Q3257881	loge	Loge des Frères Réunis
Q3257884	loge	Loge militaire L'Union indissoluble
Q3257889	obédience	Loge nationale française
Q33219545	loge	Athanor
Q3345274	obédience	Nouvelles obédiences maçonniques françaises
Q3355745	obédience	Ordre initiatique et traditionnel de l'Art royal
Q3394832	loge	
Q3463885	loge	Saint Jean d'Écosse de Marseille
Q3463889	loge	Saint Jean d'Écosse du Contrat social
Q3504956	obédience	Suprême Conseil de la Juridiction Sud
Q3504958	loge|obédience	Suprême Conseil de France
Q3618677	obédience	Antient Grand Lodge of England
Q36595112	loge	Aomori Lodge
Q36595459	loge	DeMolay-Land Lodge
Q36595500	loge	Research Lodge of Japan
Q36595561	loge	Square and Compass Lodge
Q36595590	loge	Kokusai Lodge
Q36595610	loge	Far East Lodge
Q36595643	loge	Yokosuka Lodge
Q36595670	loge	Sagamihara Masonic Lodge
Q36595689	loge	Torii Masonic Lodge
Q36595712	loge	Kyoto Mikado Lodge
Q36595733	loge	Kintai Lodge
Q36595755	loge	Himiko Lodge
Q36595775	loge	Nippon Lodge
Q36595800	loge	Teikoku Lodge
Q3774329	obédience	Grande Loge d'Italie
Q38554912	loge	
Q3919361	obédience	Grande Loge unie de Russie
Q4284136	obédience	Ordre maçonique du Libéria
Q44635837	loge	
Q4467995	loge	Lodge Willem Fredrik
Q451117	loge|obédience	Grandes Loges unies d'Allemagne
Q46994918	loge	
Q471345	obédience	Grande Loge d'Allemagne
Q4733709	loge	Almas Temple
Q4791902	loge	Arkansas Valley Lodge No. 21, Prince Hall Masons
Q48204303	loge	Loge Nature et Philanthropie
Q48828342	loge	Les Amis de Sully
Q48840575	loge	
Q48898276	loge	L'heureuse rencontre
Q49580640	loge	Vrijmetselaarsloge La Liberté Gent
Q4988758	loge	
Q49968848	loge	Vrijmetselaarsloge L'Aurore Oudenaarde
Q49969314	loge	J. Speliers
Q49969846	loge	Jan De Grande
Q50326744	loge	La Parfaite Union
Q52183132	loge	Rising Sun Lodge No. 1401
Q52183215	loge	Lodge Star in the East No. 640
Q52183255	loge	Lodge Hiogo and Osaka No. 498
Q52183313	loge	Sinim Lodge
Q52183371	loge	Soleil Levant
Q52183462	loge	Grand Orient arabe œcuménique
Q52183503	loge	Loge la lumière du soleil levant
Q52183615	loge	O'Misawa Lodge No. 54
Q52183730	loge	Tomodachi Lodge No. 111
Q52183901	loge	Pride of the Orient Lodge No. 55
Q52184009	loge	Touchon Lodge No. 106
Q52184049	loge	Genesis Lodge No. 89
Q52184092	loge	Revelation Lodge No. 97
Q52184282	loge	Cherry Blossom Lodge No. 42
Q52184327	loge	Okinawa Lodge No. 118
Q52184373	loge	Rising Sun Lodge No. 151
Q52279256	loge	
